GEOID,2020_eviction,2021_eviction,2022_eviction,2023_eviction,own_occ_rate,corp_own_rate,median_yearbuilt,median_price,median_prslpr,mortgage,median_totrooms,median_bathrooms,median_bedrooms,median_lotsize,median_intersf,median_flip_horizon,median_price_diff,median_price_diff_pch,median_lasqbin,mean_month_horizon,buyer_llc_ind_sum,buyer_bus_ind_sum,buyer_trst_ind_sum,buyer_bnk_ind_sum,buyer_gse_ind_sum,buyer_gov_ind_sum,seller_llc_ind_sum,seller_llp_ind_sum,seller_bus_ind_sum,seller_trst_ind_sum,seller_bnk_ind_sum,seller_gse_ind_sum,seller_gov_ind_sum,flip_ind_sum,buy_side_flip_sum,sell_side_flip_sum,restype_R1F_sum,sum_institutional_investor,sum_large_investor,sum_medium_investor,sum_non_investor,sum_small_investor,sum_non_small_llc_investor,sum_small_llc_investor,count_1.FAM.RES,count_2.FAM.RES,count_3.FAM.RES,count_CONDOMINIUM,count_RES.DEV.LAND,percent_owners,num_sales_transactions,years,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fam,hh,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,acs_year,mhi,mhi_me,o_mhi,o_mhi_me,r_mhi,r_mhi_me,units,units_me,own_units,rent_units,median_rent,median_rent_me
25025010403,16,3,7,44,0.194059405940594,0.2415841584158415,2002,280000,0,200000,3,1,1,489,479,1029,25600,8.21,450.5,13,14,2,7,1,0,0,155,0,5,14,1,0,0,27,29,27,0,7,10,15,282,23,323,14,0,0,1,311,0,31.5,337,2010,3003,1577,1426,105,2540,358,1686,295,10,628,0,10,81,293,311,2025,311,251,37,17,5,0,1,1714,1277,334,75,23,3,2,0,2007-11,16786,7373,61442,80435,16218,6304,2007,133.3333,82,1618,1780,175.7576
25025010404,2,0,1,14,0.1235370611183355,0.2613784135240572,1899,335000,193000,221600,4,1,2,825,825,1115,70500,22.26,850.5,12,20,0,16,0,0,0,14,0,4,27,2,0,0,76,79,76,8,13,5,25,516,18,557,20,8,0,1,546,0,28.8,577,2010,5817,2739,3078,84,5632,101,4068,259,4,936,4,23,137,386,194,1810,194,141,35,8,5,5,0,1616,673,610,208,92,21,9,3,2007-11,16735,13735,66058,28515,15599,6375,1489,112.7273,164,1036,1922,93.93939
25025010405,5,5,6,25,0.0930787589498806,0.3532219570405728,1920,275000,139000,183475,4,1,1,638,638,918.5,56000,25.905,650.5,13,7,1,6,0,0,0,6,0,2,3,1,0,0,31,32,31,0,6,4,13,162,3,181,7,0,0,0,174,0,21.8,188,2010,5522,2703,2819,120,5092,310,3767,426,10,717,2,15,150,435,152,966,152,100,29,17,2,4,0,814,567,125,61,47,10,3,1,2007-11,13580,2514,63500,28356,12699,2122,984,72.72727,33,844,586,75.15151
25025010408,1,6,3,8,0.2302405498281786,0.2474226804123711,1900,237000,121500,163500,3,1,1,530,530,1008,42500,21.955,550.5,12,4,1,8,1,1,0,12,0,3,25,3,1,0,36,36,36,1,6,8,7,230,9,256,4,1,0,0,258,0,26.5,260,2010,1426,717,709,46,1348,32,1014,50,2,206,1,1,19,133,126,943,126,96,22,8,0,0,0,817,547,226,39,5,0,0,0,2007-11,51078,13729,205054,84842,46944,12863,907,56.36364,80,752,2051,92.12122
25025010500,4,5,6,8,0.2755298651252408,0.3468208092485549,1890,520000,292500,340000,4,1,2,1034,1016,1084.5,82500,18.915,1050.5,14,6,2,10,2,0,0,7,0,2,19,3,0,0,40,42,40,7,7,4,9,285,6,303,8,7,6,1,283,0,25.4,311,2010,3044,1487,1557,115,2563,366,1970,308,4,405,1,12,53,291,310,1655,310,225,54,21,6,4,0,1345,946,287,95,17,0,0,0,2007-11,42099,9003,250001,0,37188,14813,2074,253.9394,155,1595,2595,313.3333
25025010600,15,10,15,23,0.3104786545924967,0.2522639068564036,1925,595250,151000,210600,4,1,2,926,899,1189,119000,23.17,850.5,13,14,7,40,1,0,0,114,0,19,62,0,0,1,70,72,70,2,6,2,8,546,40,588,14,2,3,0,585,0,29.1,602,2010,2858,1380,1478,179,2209,470,2159,134,2,361,0,6,40,156,530,1854,530,393,86,42,7,1,1,1324,1090,216,13,5,0,0,0,2007-11,75547,20890,80313,72535,73854,24962,2813,146.0606,368,1790,2661,284.8485
25025010701,0,3,3,1,0.2835689045936396,0.2685512367491166,1897.5,650500,279500,286850,4,1,1,1050,1041,1062,80000,17.56,1050.5,15,56,11,41,1,1,0,36,0,17,57,7,1,2,82,86,82,9,11,10,19,786,38,807,57,9,4,0,792,0,28.8,864,2010,2478,1302,1176,111,2204,163,2009,57,2,211,0,14,49,136,302,1396,302,211,58,29,4,0,0,1094,858,196,34,3,0,1,2,2007-11,98786,9937,250001,0,81518,29627,1582,101.8182,345,929,2083,149.697
25025010702,1,3,1,2,0.2941919191919191,0.2512626262626262,1899,642000,311500,286400,4,1,1,1070,1042,1073,82000,15.66,1050.5,13,65,15,49,1,0,0,85,0,25,72,4,0,0,109,115,109,1,10,10,31,893,56,935,65,1,2,4,924,0,28.6,1000,2010,2400,1140,1260,165,1947,288,2080,53,2,122,1,3,37,102,415,1402,415,304,59,36,8,7,1,987,821,140,22,4,0,0,0,2007-11,90068,14055,151809,92513,82426,9235,1753,103.6364,717,752,2494,120.6061
25025010801,2,1,2,0,0.3454221165279429,0.1771700356718192,1890,581150,277750,289500,4,1,2,940,935,1045,75000,15.37,950.5,13,23,3,50,1,1,0,85,0,6,88,4,0,0,126,131,126,4,14,10,26,1007,47,1080,24,4,0,0,1090,0,27.8,1104,2010,2783,1286,1497,175,2218,390,2336,62,3,186,0,5,52,139,480,1651,480,351,75,41,11,2,0,1171,1003,158,10,0,0,0,0,2007-11,154402,36301,179453,28569,125882,74010,1943,124.2424,754,849,2221,69.69697
25025010802,2,5,4,3,0.2915129151291513,0.2445967316816025,1895,520000,282062.5,287750,4,1,2,870,870,1088,73937.5,16.1,850.5,14,35,17,48,1,0,0,59,0,18,99,7,0,0,119,122,119,26,9,11,34,1124,38,1180,36,26,7,0,1162,0,24.7,1216,2010,3059,1515,1544,205,2554,300,2542,47,0,277,0,15,59,119,470,1871,470,314,95,48,8,5,0,1401,1105,264,27,3,2,0,0,2007-11,88370,16022,138996,29413,58237,12370,2093,105.4545,756,1101,2342,111.5152
